Channel ID,Channel URL,Channel title
UCJXw0BFh90eeJlg3YMLYd2Q,http://www.youtube.com/channel/UCJXw0BFh90eeJlg3YMLYd2Q,Skift
UCJg9wBPyKMNA5sRDnvzmkdg,http://www.youtube.com/channel/UCJg9wBPyKMNA5sRDnvzmkdg,LiveNOW from FOX
UCJjAIBWeY022ZNj_Cp_6wAw,http://www.youtube.com/channel/UCJjAIBWeY022ZNj_Cp_6wAw,The Tesla Space
UCJoqlSf722Ao-4QR7EFRnNg,http://www.youtube.com/channel/UCJoqlSf722Ao-4QR7EFRnNg,Off the Pitch: Cricket in Conversation 
UCJrDMFOdv1I2k8n9oK_V21w,http://www.youtube.com/channel/UCJrDMFOdv1I2k8n9oK_V21w,Tips Official
UCJwKCyEIFHwUOPQQ-4kC1Zw,http://www.youtube.com/channel/UCJwKCyEIFHwUOPQQ-4kC1Zw,Tom Nash
UCK-zlnUfoDHzUwXcbddtnkg,http://www.youtube.com/channel/UCK-zlnUfoDHzUwXcbddtnkg,ARK Invest
UCK0z0_5uL7mb9IjntOKi5XQ,http://www.youtube.com/channel/UCK0z0_5uL7mb9IjntOKi5XQ,The Atlantic
UCK7tptUDHh-RYDsdxO1-5QQ,http://www.youtube.com/channel/UCK7tptUDHh-RYDsdxO1-5QQ,The Wall Street Journal
UCK8sQmJBp8GCxrOtXWBpyEA,http://www.youtube.com/channel/UCK8sQmJBp8GCxrOtXWBpyEA,Google
UCKWaEZ-_VweaEx1j62do_vQ,http://www.youtube.com/channel/UCKWaEZ-_VweaEx1j62do_vQ,IBM Technology
UCKZozRVHRYsYHGEyNKuhhdA,http://www.youtube.com/channel/UCKZozRVHRYsYHGEyNKuhhdA,Think School
UCKgAaCGmyCRKgMZD0LBvMNA,http://www.youtube.com/channel/UCKgAaCGmyCRKgMZD0LBvMNA,Appurv Gupta
